index,Слово,Часть речи,Род,Число,Падеж,Ударение
171,одиссеи,сущ,жен,мн,0,1
172,героики,сущ,жен,мн,0,2
173,конки,сущ,жен,мн,0,5
174,колючки,сущ,жен,мн,0,4
175,теснины,сущ,жен,мн,0,2
176,любительницы,сущ,жен,мн,0,2
177,пьяни,сущ,жен,мн,0,5
178,лимонки,сущ,жен,мн,0,2
179,озлобленности,сущ,жен,мн,0,4
180,гончие,сущ,жен,мн,0,2
181,мельхиоровны,сущ,жен,мн,0,2
182,усадки,сущ,жен,мн,0,1
183,черемши,сущ,жен,мн,0,2
184,сторонки,сущ,жен,мн,0,5
185,статуэтки,сущ,жен,мн,0,6
186,решительности,сущ,жен,мн,0,4
187,шашлычные,сущ,жен,мн,0,2
188,ангелины,сущ,жен,мн,0,6
189,причуды,сущ,жен,мн,0,5
190,надбавки,сущ,жен,мн,0,2
191,бараковны,сущ,жен,мн,0,2
192,османовны,сущ,жен,мн,0,1
193,периодизации,сущ,жен,мн,0,2
194,четвёртые,сущ,жен,мн,0,5
195,лести,сущ,жен,мн,0,2
196,кутьи,сущ,жен,мн,0,2
197,полифонии,сущ,жен,мн,0,2
198,никчёмности,сущ,жен,мн,0,2
199,однозначности,сущ,жен,мн,0,1
200,амвросиевны,сущ,жен,мн,0,1
201,подтасовки,сущ,жен,мн,0,2
202,спаленки,сущ,жен,мн,0,3
203,галочки,сущ,жен,мн,0,2
204,дановны,сущ,жен,мн,0,2
205,шпалеры,сущ,жен,мн,0,3
206,марленовны,сущ,жен,мн,0,2
207,стельки,сущ,жен,мн,0,3
208,линии,сущ,жен,мн,0,2
209,малышки,сущ,жен,мн,0,4
210,неясности,сущ,жен,мн,0,3
211,дипломатии,сущ,жен,мн,0,7
212,точечки,сущ,жен,мн,0,2
213,жилки,сущ,жен,мн,0,2
214,епитимьи,сущ,жен,мн,0,1
215,ланиты,сущ,жен,мн,0,4
216,сатисфакции,сущ,жен,мн,0,2
217,вязи,сущ,жен,мн,0,2
218,приблизительности,сущ,жен,мн,0,3
219,половины,сущ,жен,мн,0,6
220,наледи,сущ,жен,мн,0,2
221,зелёнки,сущ,жен,мн,0,4
222,геологоразведки,сущ,жен,мн,0,2
223,ложбинки,сущ,жен,мн,0,5
224,реминисценции,сущ,жен,мн,0,2
225,антилопы,сущ,жен,мн,0,1
226,академии,сущ,жен,мн,0,7
227,кузины,сущ,жен,мн,0,4
228,кинохроники,сущ,жен,мн,0,2
229,девушки,сущ,жен,мн,0,2
230,роллановны,сущ,жен,мн,0,2
231,мифологии,сущ,жен,мн,0,6
232,квартиры,сущ,жен,мн,0,6
233,грудинки,сущ,жен,мн,0,3
234,чернушки,сущ,жен,мн,0,5
235,живописности,сущ,жен,мн,0,2
236,рябинки,сущ,жен,мн,0,4
237,истины,сущ,жен,мн,0,1
238,ленинградки,сущ,жен,мн,0,2
239,опаски,сущ,жен,мн,0,1
240,межи,сущ,жен,мн,0,2
241,кристаллизации,сущ,жен,мн,0,3
242,стряпни,сущ,жен,мн,0,4
243,ковбойки,сущ,жен,мн,0,5
244,форточки,сущ,жен,мн,0,2
245,девчонки,сущ,жен,мн,0,5
246,хрупкости,сущ,жен,мн,0,3
247,сметаны,сущ,жен,мн,0,5
248,коррозии,сущ,жен,мн,0,2
249,работки,сущ,жен,мн,0,2
250,рати,сущ,жен,мн,0,2
251,сцепки,сущ,жен,мн,0,3
252,эпопеи,сущ,жен,мн,0,5
253,комбинаторики,сущ,жен,мн,0,2
254,санитарки,сущ,жен,мн,0,2
255,доступности,сущ,жен,мн,0,2
256,сударыни,сущ,жен,мн,0,2
257,бражки,сущ,жен,мн,0,3
258,аспирантки,сущ,жен,мн,0,6
259,неосторожности,сущ,жен,мн,0,8
260,печурки,сущ,жен,мн,0,4
261,крошки,сущ,жен,мн,0,3
262,паренхимы,сущ,жен,мн,0,2
263,идиосинкразии,сущ,жен,мн,0,1
264,скважины,сущ,жен,мн,0,4
265,кретинки,сущ,жен,мн,0,3
266,разборки,сущ,жен,мн,0,5
267,кандидатуры,сущ,жен,мн,0,9
268,переоценки,сущ,жен,мн,0,2
269,пробы,сущ,жен,мн,0,3
270,благодарности,сущ,жен,мн,0,3
271,летучки,сущ,жен,мн,0,4
272,качки,сущ,жен,мн,0,2
273,чары,сущ,жен,мн,0,2
274,директрисы,сущ,жен,мн,0,2
275,астрономии,сущ,жен,мн,0,7
276,дальности,сущ,жен,мн,0,2
277,вёрстки,сущ,жен,мн,0,2
278,венеры,сущ,жен,мн,0,4
279,хохлушки,сущ,жен,мн,0,2
280,одноклассницы,сущ,жен,мн,0,7
281,седины,сущ,жен,мн,0,4
282,шашечки,сущ,жен,мн,0,2
283,гулянки,сущ,жен,мн,0,2
284,гордячки,сущ,жен,мн,0,2
285,стерни,сущ,жен,мн,0,3
286,гастрономии,сущ,жен,мн,0,2
287,гибкости,сущ,жен,мн,0,2
288,аномии,сущ,жен,мн,0,1
289,диспетчерские,сущ,жен,мн,0,5
290,амбивалентности,сущ,жен,мн,0,1
291,уступки,сущ,жен,мн,0,4
292,монографии,сущ,жен,мн,0,7
293,осмысленности,сущ,жен,мн,0,1
294,хибары,сущ,жен,мн,0,2
295,сокровищницы,сущ,жен,мн,0,5
296,допустимости,сущ,жен,мн,0,2
297,гальки,сущ,жен,мн,0,2
298,травли,сущ,жен,мн,0,3
299,преференции,сущ,жен,мн,0,3
300,ксенофобии,сущ,жен,мн,0,3
301,чешуйки,сущ,жен,мн,0,4
302,гуманности,сущ,жен,мн,0,4
303,квоты,сущ,жен,мн,0,3
304,валторны,сущ,жен,мн,0,2
305,части,сущ,жен,мн,0,2
306,выгоды,сущ,жен,мн,0,2
307,виноградины,сущ,жен,мн,0,2
308,подставки,сущ,жен,мн,0,6
309,добавки,сущ,жен,мн,0,4
310,георгиевны,сущ,жен,мн,0,2
311,стихийности,сущ,жен,мн,0,3
312,летописи,сущ,жен,мн,0,2
313,многочисленности,сущ,жен,мн,0,3
314,сурдинки,сущ,жен,мн,0,2
315,грегориевны,сущ,жен,мн,0,3
316,нимфеи,сущ,жен,мн,0,2
317,рекламации,сущ,жен,мн,0,2
318,котировки,сущ,жен,мн,0,6
319,стрижки,сущ,жен,мн,0,4
320,передышки,сущ,жен,мн,0,6
321,хибарки,сущ,жен,мн,0,2
322,морячки,сущ,жен,мн,0,2
323,козы,сущ,жен,мн,0,2
324,горелки,сущ,жен,мн,0,4
325,анатомички,сущ,жен,мн,0,7
326,энтомологии,сущ,жен,мн,0,1
327,михаэлевны,сущ,жен,мн,0,2
328,крылатки,сущ,жен,мн,0,3
329,набивки,сущ,жен,мн,0,2
330,яйцеклетки,сущ,жен,мн,0,1
331,медальки,сущ,жен,мн,0,4
332,ревакцинации,сущ,жен,мн,0,2
333,надёжности,сущ,жен,мн,0,2
334,оседлости,сущ,жен,мн,0,1
335,лесбиянки,сущ,жен,мн,0,2
336,растяжки,сущ,жен,мн,0,5
337,любы,сущ,жен,мн,0,2
338,оптимизации,сущ,жен,мн,0,1
339,мерки,сущ,жен,мн,0,2
340,бабы,сущ,жен,мн,0,2
341,зои,сущ,жен,мн,0,2
342,лесозаготовки,сущ,жен,мн,0,10
343,префектуры,сущ,жен,мн,0,3
344,таньки,сущ,жен,мн,0,2
345,рикши,сущ,жен,мн,0,2
346,дуги,сущ,жен,мн,0,2
347,эльзы,сущ,жен,мн,0,1
348,градации,сущ,жен,мн,0,3
349,тонкости,сущ,жен,мн,0,2
350,димитриевны,сущ,жен,мн,0,2
351,марьи,сущ,жен,мн,0,2
352,морозостойкости,сущ,жен,мн,0,2
353,кикиморы,сущ,жен,мн,0,4
354,диссипации,сущ,жен,мн,0,2
355,душевности,сущ,жен,мн,0,4
356,хореографии,сущ,жен,мн,0,2
357,ямины,сущ,жен,мн,0,1
358,турчанки,сущ,жен,мн,0,2
359,покупки,сущ,жен,мн,0,4
360,демагогии,сущ,жен,мн,0,2
361,гигиены,сущ,жен,мн,0,5
362,катапульты,сущ,жен,мн,0,2
363,рецессии,сущ,жен,мн,0,2
364,карусели,сущ,жен,мн,0,6
365,мари,сущ,жен,мн,0,2
366,вороны,сущ,жен,мн,0,4
367,пропойцы,сущ,жен,мн,0,3
368,лисички,сущ,жен,мн,0,4
369,выпивки,сущ,жен,мн,0,2
370,конверсии,сущ,жен,мн,0,5
371,любушки,сущ,жен,мн,0,2
372,ауры,сущ,жен,мн,0,1
373,докуки,сущ,жен,мн,0,2
374,мочевины,сущ,жен,мн,0,2
375,отравы,сущ,жен,мн,0,4
376,аллитерации,сущ,жен,мн,0,1
377,потливости,сущ,жен,мн,0,2
378,луизы,сущ,жен,мн,0,3
379,выпивохи,сущ,жен,мн,0,2
380,чертовки,сущ,жен,мн,0,2
381,иномарки,сущ,жен,мн,0,1
382,нефтеотдачи,сущ,жен,мн,0,2
383,законопослушности,сущ,жен,мн,0,2
384,лапоньки,сущ,жен,мн,0,2
385,пепельницы,сущ,жен,мн,0,2
386,ели,сущ,жен,мн,0,1
387,многогранности,сущ,жен,мн,0,3
388,зазубрины,сущ,жен,мн,0,2
389,малярии,сущ,жен,мн,0,2
390,прохладцы,сущ,жен,мн,0,3
391,некомпетентности,сущ,жен,мн,0,9
392,резкости,сущ,жен,мн,0,2
393,бархотки,сущ,жен,мн,0,2
394,цивилизованности,сущ,жен,мн,0,8
395,температуры,сущ,жен,мн,0,9
396,обрядности,сущ,жен,мн,0,1
397,станиславовны,сущ,жен,мн,0,3
398,манеры,сущ,жен,мн,0,4
399,марихуаны,сущ,жен,мн,0,2
400,неграмотности,сущ,жен,мн,0,2
401,верзилы,сущ,жен,мн,0,2
402,клетки,сущ,жен,мн,0,3
403,странности,сущ,жен,мн,0,4
404,запальчивости,сущ,жен,мн,0,2
405,палитры,сущ,жен,мн,0,4
406,оркестровки,сущ,жен,мн,0,1
407,медведицы,сущ,жен,мн,0,5
408,педагогики,сущ,жен,мн,0,6
409,юрисдикции,сущ,жен,мн,0,1
410,выволочки,сущ,жен,мн,0,2
411,наркологии,сущ,жен,мн,0,2
412,мостовые,сущ,жен,мн,0,7
413,антиномии,сущ,жен,мн,0,1
414,косыночки,сущ,жен,мн,0,2
415,фиалки,сущ,жен,мн,0,3
416,кратности,сущ,жен,мн,0,3
417,кинопробы,сущ,жен,мн,0,2
418,спецовки,сущ,жен,мн,0,3
419,неумелости,сущ,жен,мн,0,2
420,святости,сущ,жен,мн,0,3
421,протечки,сущ,жен,мн,0,3
422,двойственности,сущ,жен,мн,0,3
423,аркадьевны,сущ,жен,мн,0,1
424,углекислоты,сущ,жен,мн,0,1
425,маски,сущ,жен,мн,0,2
426,поставки,сущ,жен,мн,0,2
427,набережные,сущ,жен,мн,0,2
428,калины,сущ,жен,мн,0,4
429,антоновки,сущ,жен,мн,0,1
430,прямолинейности,сущ,жен,мн,0,3
431,продуманности,сущ,жен,мн,0,3
432,петеровны,сущ,жен,мн,0,2
433,талантливости,сущ,жен,мн,0,4
434,сестрички,сущ,жен,мн,0,6
435,материальности,сущ,жен,мн,0,7
436,марли,сущ,жен,мн,0,2
437,немочи,сущ,жен,мн,0,2
438,камфары,сущ,жен,мн,0,2
439,ушицы,сущ,жен,мн,0,1
440,планировки,сущ,жен,мн,0,7
441,сверстницы,сущ,жен,мн,0,3
442,тетёрки,сущ,жен,мн,0,2
443,гдр,сущ,жен,мн,0,-1
444,пиццерии,сущ,жен,мн,0,7
445,руны,сущ,жен,мн,0,2
446,психопатологии,сущ,жен,мн,0,3
447,схоластики,сущ,жен,мн,0,3
448,мороси,сущ,жен,мн,0,2
449,хлебозаготовки,сущ,жен,мн,0,11
450,йоты,сущ,жен,мн,0,2
451,правоспособности,сущ,жен,мн,0,3
452,чарки,сущ,жен,мн,0,2
453,запевалы,сущ,жен,мн,0,6
454,коммунистки,сущ,жен,мн,0,2
455,обороноспособности,сущ,жен,мн,0,1
456,дули,сущ,жен,мн,0,2
457,овчинки,сущ,жен,мн,0,1
458,стерилизации,сущ,жен,мн,0,9
459,недоделки,сущ,жен,мн,0,2
460,первопричины,сущ,жен,мн,0,2
461,разнарядки,сущ,жен,мн,0,2
462,никоновны,сущ,жен,мн,0,2
463,поклёвки,сущ,жен,мн,0,5
464,пенсии,сущ,жен,мн,0,2
465,вещицы,сущ,жен,мн,0,4
466,афанасиевны,сущ,жен,мн,0,1
467,четвертушки,сущ,жен,мн,0,8
468,уключины,сущ,жен,мн,0,4
469,унции,сущ,жен,мн,0,1
470,лености,сущ,жен,мн,0,2
471,уймы,сущ,жен,мн,0,1
472,верочки,сущ,жен,мн,0,2
473,доверительности,сущ,жен,мн,0,2
474,гипотезы,сущ,жен,мн,0,2
475,цепкости,сущ,жен,мн,0,2
476,старицы,сущ,жен,мн,0,3
477,неразрывности,сущ,жен,мн,0,2
478,выраженности,сущ,жен,мн,0,2
479,безвкусицы,сущ,жен,мн,0,2
480,расслабленности,сущ,жен,мн,0,6
481,пертурбации,сущ,жен,мн,0,8
482,гадюки,сущ,жен,мн,0,4
483,ксюши,сущ,жен,мн,0,3
484,евхаристии,сущ,жен,мн,0,1
485,нюры,сущ,жен,мн,0,2
486,протекции,сущ,жен,мн,0,5
487,редьки,сущ,жен,мн,0,2
488,дисгармонии,сущ,жен,мн,0,2
489,неискренности,сущ,жен,мн,0,3
490,овчарки,сущ,жен,мн,0,4
491,насторожённости,сущ,жен,мн,0,7
492,рассудительности,сущ,жен,мн,0,7
493,пени,сущ,жен,мн,0,2
494,планшетки,сущ,жен,мн,0,3
495,ласточки,сущ,жен,мн,0,2
496,ухмылочки,сущ,жен,мн,0,1
497,минеи,сущ,жен,мн,0,2
498,макаки,сущ,жен,мн,0,4
499,состязательности,сущ,жен,мн,0,2
500,разметки,сущ,жен,мн,0,2
501,мороженщицы,сущ,жен,мн,0,2
502,мази,сущ,жен,мн,0,2
503,заразы,сущ,жен,мн,0,4
504,луны,сущ,жен,мн,0,4
505,сдержанности,сущ,жен,мн,0,3
506,удочки,сущ,жен,мн,0,1
507,конкурентки,сущ,жен,мн,0,2
508,табл,сущ,жен,мн,0,2
509,гомосексуальности,сущ,жен,мн,0,2
510,подчинённости,сущ,жен,мн,0,2
511,соцстраны,сущ,жен,мн,0,2
512,шнуровки,сущ,жен,мн,0,3
513,бухгалтерши,сущ,жен,мн,0,2
514,нечисти,сущ,жен,мн,0,2
515,посудомойки,сущ,жен,мн,0,2
516,встречи,сущ,жен,мн,0,5
517,термодинамики,сущ,жен,мн,0,2
518,значимости,сущ,жен,мн,0,3
519,благотворительности,сущ,жен,мн,0,10
520,резеды,сущ,жен,мн,0,2
521,колы,сущ,жен,мн,0,2
522,малочисленности,сущ,жен,мн,0,2
523,полярности,сущ,жен,мн,0,2
524,выдумки,сущ,жен,мн,0,2
525,порции,сущ,жен,мн,0,2
526,нагрузки,сущ,жен,мн,0,5
527,министерши,сущ,жен,мн,0,2
528,адамовны,сущ,жен,мн,0,1
529,клятвы,сущ,жен,мн,0,3
530,возницы,сущ,жен,мн,0,5
531,кротости,сущ,жен,мн,0,3
532,этики,сущ,жен,мн,0,1
533,лесистости,сущ,жен,мн,0,2
534,руслановны,сущ,жен,мн,0,2
535,стряпухи,сущ,жен,мн,0,6
536,железки,сущ,жен,мн,0,2
537,игры,сущ,жен,мн,0,4
538,преданности,сущ,жен,мн,0,3
539,химизации,сущ,жен,мн,0,2
540,сёстры,сущ,жен,мн,0,6
541,инсинуации,сущ,жен,мн,0,1
542,дифракции,сущ,жен,мн,0,2
543,семейки,сущ,жен,мн,0,4
544,контролёрши,сущ,жен,мн,0,2
545,трещины,сущ,жен,мн,0,3
546,тряпки,сущ,жен,мн,0,3
547,гидроэлектростанции,сущ,жен,мн,0,2
548,раздвоенности,сущ,жен,мн,0,2
549,анфилады,сущ,жен,мн,0,1
550,катьки,сущ,жен,мн,0,2
551,отрыжки,сущ,жен,мн,0,1
552,матушки,сущ,жен,мн,0,2
553,способности,сущ,жен,мн,0,5
554,бернардовны,сущ,жен,мн,0,2
555,материи,сущ,жен,мн,0,4
556,популярности,сущ,жен,мн,0,6
557,тачанки,сущ,жен,мн,0,2
558,кошечки,сущ,жен,мн,0,2
559,лампадки,сущ,жен,мн,0,5
560,заявки,сущ,жен,мн,0,3
561,корицы,сущ,жен,мн,0,2
562,пастушки,сущ,жен,мн,0,8
563,гребёнки,сущ,жен,мн,0,5
564,матроны,сущ,жен,мн,0,2
565,жидкости,сущ,жен,мн,0,2
566,гитары,сущ,жен,мн,0,4
567,влаги,сущ,жен,мн,0,3
568,виселицы,сущ,жен,мн,0,2
569,фонограммы,сущ,жен,мн,0,2
570,горстки,сущ,жен,мн,0,2
571,волшебницы,сущ,жен,мн,0,5
572,олечки,сущ,жен,мн,0,1
573,помеси,сущ,жен,мн,0,2
574,ризы,сущ,жен,мн,0,2
575,почвы,сущ,жен,мн,0,2
576,музыкальности,сущ,жен,мн,0,6
577,обеспеченности,сущ,жен,мн,0,1
578,яны,сущ,жен,мн,0,3
579,болгарки,сущ,жен,мн,0,2
580,расы,сущ,жен,мн,0,2
581,дублёнки,сущ,жен,мн,0,2
582,благосклонности,сущ,жен,мн,0,9
583,снежинки,сущ,жен,мн,0,5
584,роновны,сущ,жен,мн,0,2
585,лихорадки,сущ,жен,мн,0,6
586,трассы,сущ,жен,мн,0,3
587,бессмысленности,сущ,жен,мн,0,6
588,крестовины,сущ,жен,мн,0,3
589,безвыходности,сущ,жен,мн,0,2
590,стремительности,сущ,жен,мн,0,4
591,энергокомпании,сущ,жен,мн,0,1
592,швеи,сущ,жен,мн,0,3
593,гистологии,сущ,жен,мн,0,2
594,мины,сущ,жен,мн,0,2
595,землячки,сущ,жен,мн,0,2
596,царапины,сущ,жен,мн,0,4
597,магнитолы,сущ,жен,мн,0,2
598,безжалостности,сущ,жен,мн,0,2
599,профанации,сущ,жен,мн,0,3
600,жвачки,сущ,жен,мн,0,3
601,сути,сущ,жен,мн,0,2
602,лины,сущ,жен,мн,0,2
603,деточки,сущ,жен,мн,0,2
604,многоэтажки,сущ,жен,мн,0,3
605,станины,сущ,жен,мн,0,3
606,колымаги,сущ,жен,мн,0,2
607,шиншиллы,сущ,жен,мн,0,2
608,водички,сущ,жен,мн,0,2
609,систематики,сущ,жен,мн,0,2
610,мамалыги,сущ,жен,мн,0,2
611,платоновны,сущ,жен,мн,0,3
612,пресс-конференции,сущ,жен,мн,0,
613,золушки,сущ,жен,мн,0,2
614,диссоциации,сущ,жен,мн,0,2
615,томографии,сущ,жен,мн,0,2
616,монашки,сущ,жен,мн,0,4
617,самоотверженности,сущ,жен,мн,0,8
618,эмблемы,сущ,жен,мн,0,5
619,солдатни,сущ,жен,мн,0,2
620,мазни,сущ,жен,мн,0,2
621,рубки,сущ,жен,мн,0,2
622,реставрации,сущ,жен,мн,0,8
623,скамеечки,сущ,жен,мн,0,5
624,фотовспышки,сущ,жен,мн,0,2
625,стачки,сущ,жен,мн,0,3
626,тростинки,сущ,жен,мн,0,3
627,люстры,сущ,жен,мн,0,2
628,перегонки,сущ,жен,мн,0,9
629,задачи,сущ,жен,мн,0,4
630,элегии,сущ,жен,мн,0,3
631,водочки,сущ,жен,мн,0,2
632,биотехнологии,сущ,жен,мн,0,2
633,поэмы,сущ,жен,мн,0,3
634,времянки,сущ,жен,мн,0,5
635,польки,сущ,жен,мн,0,2
636,незаурядности,сущ,жен,мн,0,2
637,публичности,сущ,жен,мн,0,2
638,затеи,сущ,жен,мн,0,4
639,монополизации,сущ,жен,мн,0,2
640,робы,сущ,жен,мн,0,2
641,величины,сущ,жен,мн,0,8
642,ряшки,сущ,жен,мн,0,2
643,правильности,сущ,жен,мн,0,3
644,амфибии,сущ,жен,мн,0,1
645,неприязни,сущ,жен,мн,0,6
646,стипендии,сущ,жен,мн,0,5
647,зарядки,сущ,жен,мн,0,4
648,этажерки,сущ,жен,мн,0,5
649,утери,сущ,жен,мн,0,1
650,стражи,сущ,жен,мн,0,4
651,голубятни,сущ,жен,мн,0,6
652,лисы,сущ,жен,мн,0,2
653,инъекции,сущ,жен,мн,0,1
654,морошки,сущ,жен,мн,0,4
655,ручки,сущ,жен,мн,0,2
656,коротышки,сущ,жен,мн,0,6
657,бабёнки,сущ,жен,мн,0,2
658,инны,сущ,жен,мн,0,1
659,зверофермы,сущ,жен,мн,0,3
660,трусишки,сущ,жен,мн,0,5
661,нервности,сущ,жен,мн,0,2
662,ругани,сущ,жен,мн,0,2
663,разводки,сущ,жен,мн,0,2
664,ритмичности,сущ,жен,мн,0,5
665,недомолвки,сущ,жен,мн,0,2
666,подвижки,сущ,жен,мн,0,2
667,гидратации,сущ,жен,мн,0,2
668,гланды,сущ,жен,мн,0,3
669,развратницы,сущ,жен,мн,0,2
670,коммутации,сущ,жен,мн,0,2
671,поляризации,сущ,жен,мн,0,2
672,мотивации,сущ,жен,мн,0,6
673,поруки,сущ,жен,мн,0,2
674,стыковки,сущ,жен,мн,0,3
675,служанки,сущ,жен,мн,0,5
676,показухи,сущ,жен,мн,0,2
677,братии,сущ,жен,мн,0,3
678,собственности,сущ,жен,мн,0,2
679,лавы,сущ,жен,мн,0,2
680,зарисовки,сущ,жен,мн,0,6
681,бернаровны,сущ,жен,мн,0,2
682,электроразведки,сущ,жен,мн,0,1
683,мистификации,сущ,жен,мн,0,9
684,вереи,сущ,жен,мн,0,2
685,оспины,сущ,жен,мн,0,1
686,идиотки,сущ,жен,мн,0,1
687,насыщенности,сущ,жен,мн,0,2
688,гордыни,сущ,жен,мн,0,5
689,одежды,сущ,жен,мн,0,3
690,провинции,сущ,жен,мн,0,5
691,патетики,сущ,жен,мн,0,2
692,целесообразности,сущ,жен,мн,0,10
693,байдары,сущ,жен,мн,0,2
694,прочности,сущ,жен,мн,0,3
695,ватаги,сущ,жен,мн,0,4
696,подложки,сущ,жен,мн,0,2
697,пленницы,сущ,жен,мн,0,3
698,фокусировки,сущ,жен,мн,0,2
699,затрещины,сущ,жен,мн,0,2
700,катерины,сущ,жен,мн,0,6
701,незнакомки,сущ,жен,мн,0,2
702,нейропсихологии,сущ,жен,мн,0,2
703,брусчатки,сущ,жен,мн,0,6
704,черепашки,сущ,жен,мн,0,6
705,плевры,сущ,жен,мн,0,3
706,карьеры,сущ,жен,мн,0,5
707,погони,сущ,жен,мн,0,4
708,тематики,сущ,жен,мн,0,4
709,светы,сущ,жен,мн,0,3
710,гравюры,сущ,жен,мн,0,5
711,опочивальни,сущ,жен,мн,0,1
712,красотищи,сущ,жен,мн,0,3
713,деревообработки,сущ,жен,мн,0,2
714,кулинарии,сущ,жен,мн,0,8
715,коляски,сущ,жен,мн,0,4
716,жёнки,сущ,жен,мн,0,2
717,достаточности,сущ,жен,мн,0,2
718,интернационализации,сущ,жен,мн,0,1
719,авиабомбы,сущ,жен,мн,0,1
720,телогрейки,сущ,жен,мн,0,2
721,аварийности,сущ,жен,мн,0,5
722,расселины,сущ,жен,мн,0,2
723,нерасторопности,сущ,жен,мн,0,2
724,сложности,сущ,жен,мн,0,3
725,террористки,сущ,жен,мн,0,2
726,метрологии,сущ,жен,мн,0,2
727,божницы,сущ,жен,мн,0,2
728,пряжи,сущ,жен,мн,0,3
729,флексии,сущ,жен,мн,0,3
730,пересдачи,сущ,жен,мн,0,2
731,дурёхи,сущ,жен,мн,0,2
732,смолы,сущ,жен,мн,0,5
733,пасторали,сущ,жен,мн,0,2
734,пращи,сущ,жен,мн,0,3
735,трансцендентности,сущ,жен,мн,0,3
736,мстиславовны,сущ,жен,мн,0,4
737,конституции,сущ,жен,мн,0,8
738,любовницы,сущ,жен,мн,0,4
739,мусовны,сущ,жен,мн,0,2
740,шкалы,сущ,жен,мн,0,5
741,рыбоохраны,сущ,жен,мн,0,2
742,незадачи,сущ,жен,мн,0,2
743,тягомотины,сущ,жен,мн,0,2
744,несовместимости,сущ,жен,мн,0,10
745,обезьянки,сущ,жен,мн,0,6
746,констатации,сущ,жен,мн,0,8
747,суспензии,сущ,жен,мн,0,5
748,кликуши,сущ,жен,мн,0,3
749,хлопушки,сущ,жен,мн,0,5
750,холки,сущ,жен,мн,0,2
751,неприятности,сущ,жен,мн,0,6
752,паиньки,сущ,жен,мн,0,2
753,флуктуации,сущ,жен,мн,0,3
754,починок,сущ,жен,мн,0,4
755,малины,сущ,жен,мн,0,4
756,церковки,сущ,жен,мн,0,2
757,комнатёнки,сущ,жен,мн,0,2
758,корневны,сущ,жен,мн,0,2
759,авторучки,сущ,жен,мн,0,6
760,эпидемиологии,сущ,жен,мн,0,1
761,тарелки,сущ,жен,мн,0,4
762,противоречивости,сущ,жен,мн,0,3
763,цитадели,сущ,жен,мн,0,6
764,пайки,сущ,жен,мн,0,2
765,навязчивости,сущ,жен,мн,0,2
766,динамичности,сущ,жен,мн,0,6
767,парфюмерии,сущ,жен,мн,0,7
768,грозы,сущ,жен,мн,0,3
769,скупки,сущ,жен,мн,0,3
770,дермы,сущ,жен,мн,0,2
771,идентичности,сущ,жен,мн,0,1
772,дуры,сущ,жен,мн,0,2
773,бродяжки,сущ,жен,мн,0,3
774,иголочки,сущ,жен,мн,0,1
775,необъятности,сущ,жен,мн,0,6
776,защиты,сущ,жен,мн,0,4
777,эпилепсии,сущ,жен,мн,0,5
778,шубейки,сущ,жен,мн,0,2
779,вспыльчивости,сущ,жен,мн,0,4
780,форы,сущ,жен,мн,0,2
781,ленты,сущ,жен,мн,0,2
782,иерархии,сущ,жен,мн,0,4
783,никитовны,сущ,жен,мн,0,2
784,убеждённости,сущ,жен,мн,0,1
785,агонии,сущ,жен,мн,0,3
786,попы,сущ,жен,мн,0,2
787,главы,сущ,жен,мн,0,3
788,должности,сущ,жен,мн,0,2
789,утопленницы,сущ,жен,мн,0,1
790,анаконды,сущ,жен,мн,0,1
791,ремы,сущ,жен,мн,0,2
792,вечеринки,сущ,жен,мн,0,6
793,мрачности,сущ,жен,мн,0,3
794,рекомендации,сущ,жен,мн,0,9
795,подзадачи,сущ,жен,мн,0,2
796,фомки,сущ,жен,мн,0,2
797,муфты,сущ,жен,мн,0,2
798,заразительности,сущ,жен,мн,0,2
799,инкрустации,сущ,жен,мн,0,8
800,элеоноры,сущ,жен,мн,0,1
801,репликации,сущ,жен,мн,0,2
802,претензии,сущ,жен,мн,0,5
803,одежонки,сущ,жен,мн,0,5
804,контрацепции,сущ,жен,мн,0,2
805,бессонницы,сущ,жен,мн,0,5
806,кельи,сущ,жен,мн,0,2
807,эмбриологии,сущ,жен,мн,0,1
808,подошвы,сущ,жен,мн,0,4
809,занавеси,сущ,жен,мн,0,2
810,проходимости,сущ,жен,мн,0,3
811,выборности,сущ,жен,мн,0,2
812,психбольницы,сущ,жен,мн,0,3
813,юбочки,сущ,жен,мн,0,1
814,непотопляемости,сущ,жен,мн,0,2
815,нанотехнологии,сущ,жен,мн,0,2
816,кульминации,сущ,жен,мн,0,8
817,авраамовны,сущ,жен,мн,0,1
818,брошки,сущ,жен,мн,0,3
819,знатности,сущ,жен,мн,0,3
820,кадки,сущ,жен,мн,0,2
821,воронки,сущ,жен,мн,0,4
822,парадигмы,сущ,жен,мн,0,2
823,взаимопомощи,сущ,жен,мн,0,8
824,делегации,сущ,жен,мн,0,6
825,милки,сущ,жен,мн,0,2
826,продажи,сущ,жен,мн,0,5
827,глыбы,сущ,жен,мн,0,3
828,лесины,сущ,жен,мн,0,2
829,рентабельности,сущ,жен,мн,0,2
830,контаминации,сущ,жен,мн,0,2
831,внутренности,сущ,жен,мн,0,3
832,насечки,сущ,жен,мн,0,4
833,комплексности,сущ,жен,мн,0,2
834,рыбки,сущ,жен,мн,0,2
835,бандероли,сущ,жен,мн,0,7
836,кокарды,сущ,жен,мн,0,2
837,брехни,сущ,жен,мн,0,3
838,щёки,сущ,жен,мн,0,2
